points,threads,efficiency,error
53248,6,0.39,0.000309389679438
53248,7,0.18,0.002244696859024
53248,8,0.17,0.001643735320562
53248,9,0.15,0.004648543012870
53248,10,0.11,0.002545177628255
53248,11,0.09,0.002938596410207
53248,12,0.09,0.001586432948668
53248,13,0.13,0.001643735320562
53248,14,0.07,0.002470057435947
53248,15,0.07,0.002470057435947
53248,16,0.06,0.003296379551332
54272,1,0.63,0.006863880004888
54272,2,0.54,0.002146898872812
54272,3,0.37,0.001336167740737
54272,4,0.35,0.000285294523414
54272,5,0.25,0.001685648296999
54272,6,0.24,0.000083219627529
54272,7,0.17,0.001483573401114
54272,8,0.17,0.002515413023756
54272,9,0.15,0.003252441325642
54272,10,0.15,0.002662818684133
54272,11,0.10,0.001833053957377
54272,12,0.08,0.000727511504546
54272,13,0.04,0.001999493212435
54272,14,0.08,0.002736521514322
54272,15,0.05,0.002736521514322
54272,16,0.07,0.003620955476586
55296,1,0.64,0.006610014700904
55296,2,0.52,0.002631426737941
55296,3,0.28,0.000388949886090
55296,4,0.28,0.000479105669466
55296,5,0.24,0.002070540854651
55296,6,0.16,0.001184667478682
55296,7,0.20,0.000533625812015
55296,8,0.17,0.003210130441645
55296,9,0.11,0.003137792478682
55296,10,0.10,0.002631426737941
55296,11,0.10,0.002287554743540
55296,12,0.08,0.001202485299096
55296,13,0.06,0.000316611923127
55296,14,0.07,0.002486750812015
55296,15,0.14,0.002197398960164
55296,16,0.06,0.003933510071275
56320,1,0.70,0.005086971771611
56320,2,0.84,0.003382426317066
56320,3,0.26,0.000239732773843
56320,4,0.37,0.001518141864752
56320,5,0.38,0.002299391864752
56320,6,0.17,0.000754585407975
56320,7,0.21,0.001447119137479
56320,8,0.14,0.003737539953430
56320,9,0.13,0.003737539953430
56320,10,0.10,0.003098335407975
56320,11,0.11,0.002370414592025
56320,12,0.10,0.000665869137479
56320,13,0.08,0.000239732773843
56320,14,0.07,0.002032994498884
56320,15,0.05,0.002885267226157
56320,16,0.05,0.003453449044339
57344,1,1.41,0.004873903589793
57344,2,0.57,0.002502251804079
57344,3,0.42,0.000479372339793
57344,4,0.34,0.000060845554079
57344,5,0.29,0.001264489267350
57344,6,0.23,0.000200354482650
57344,7,0.11,0.001334243731635
57344,8,0.16,0.002920778589793
57344,9,0.15,0.004036850018365
57344,10,0.12,0.003130041982650
57344,11,0.06,0.003496632124492
57344,12,0.10,0.000758390196936
57344,13,0.08,0.000427435695921
57344,14,0.07,0.003339305375508
57344,15,0.05,0.002292988411222
57344,16,0.05,0.003339305375508
58368,1,0.82,0.003434758852951
58368,2,0.52,0.003983004466986
58368,3,0.59,0.000213815870495
58368,4,0.33,0.000540021848803
58368,5,0.23,0.000814144655821
58368,6,0.25,0.000282346572249
58368,7,0.37,0.001910635883891
58368,8,0.27,0.002680921133653
58368,9,0.12,0.002680921133653
58368,10,0.11,0.004462719379267
58368,11,0.10,0.000402960445294
58368,12,0.08,0.001036184291548
58368,13,0.06,0.000060306936523
58368,14,0.09,0.001515899203828
58368,15,0.07,0.001858552712600
58368,16,0.06,0.001515899203828
59392,1,0.65,0.005901958479172
59392,2,0.49,0.003324873417379
59392,3,0.45,0.006490282900138
59392,4,0.60,0.000783423996414
59392,5,0.28,0.003342691237793
59392,6,0.23,0.001187518824000
59392,7,0.20,0.000850773134345
59392,8,0.18,0.004133063072552
59392,9,0.14,0.003190175141517
59392,10,0.17,0.007635218244966
59392,11,0.12,0.011339420831173
59392,12,0.09,0.006827028589793
59392,13,0.08,0.000024765658759
59392,14,0.08,0.000832955313931
59392,15,0.07,0.002381985486345
59392,16,0.05,0.001708494107035
60416,1,0.69,0.005057240478003
60416,2,0.54,0.003814581555895
60416,3,0.45,0.005933225623692
60416,4,0.24,0.001084782850885
60416,5,0.33,0.003402049800037
60416,6,0.19,0.001150990478003
60416,7,0.21,0.000488914206817
60416,8,0.16,0.004145619691488
60416,9,0.14,0.003880789183014
60416,10,0.13,0.006860132403353
60416,11,0.11,0.011693289183014
60416,12,0.08,0.006462886640641
60416,13,0.09,0.000356498952580
60416,14,0.08,0.000025460816986
60416,15,0.08,0.002358013759285
60416,16,0.04,0.003020090030471
61440,1,0.63,0.005347450576873
61440,2,0.52,0.003376507756460
61440,3,0.50,0.005394736923127
61440,4,0.37,0.001310992243540
61440,5,0.32,0.003719846410207
61440,6,0.23,0.000920367243540
61440,7,0.22,0.000008908910207
61440,8,0.17,0.005329632756460
61440,9,0.13,0.003897341089793
61440,10,0.13,0.006175986923127
61440,11,0.11,0.011579632756460
61440,12,0.09,0.007152549423127
61440,13,0.08,0.000642132756460
61440,14,0.09,0.000269325576873
61440,15,0.08,0.002855674423127
61440,16,0.05,0.003116091089793
62464,1,0.66,0.003707039033158
62464,2,0.51,0.002952797032416
62464,3,0.48,0.004425645393072
62464,4,0.35,0.000889416082338
62464,5,0.32,0.003322817721682
62464,6,0.22,0.000007100311105
62464,7,0.20,0.000120973459387
62464,8,0.16,0.004745829819301
62464,9,0.16,0.004745829819301
62464,10,0.13,0.005962530638974
62464,11,0.11,0.011085481458646
62464,12,0.18,0.006410788835695
62464,13,0.08,0.002312428179957
62464,14,0.08,0.000519395393072
62464,15,0.08,0.003849313425859
62464,16,0.05,0.002888760147170
63488,1,0.69,0.003064604474723
63488,2,0.52,0.001723701976890
63488,3,0.43,0.005125919718825
63488,4,0.26,0.000229423023110
63488,5,0.31,0.002875592377949
63488,6,0.23,0.000166418990852
63488,7,0.23,0.001471685847858
63488,8,0.18,0.003109790686567
63488,9,0.16,0.005377935847858
63488,10,0.13,0.005188923751084
63488,11,0.10,0.011300314880116
63488,12,0.12,0.008213117299471
63488,13,0.09,0.002920778589793
63488,14,0.09,0.001282673751084
63488,15,0.12,0.002857774557535
63488,16,0.06,0.003991847138180
64512,1,1.28,0.002442564664175
64512,2,0.54,0.001153665494555
64512,3,0.52,0.004067852002492
64512,4,0.42,0.000582445616556
64512,5,0.29,0.002380560695921
64512,6,0.24,0.000533625812015
64512,7,0.19,0.002207732954873
64512,8,0.13,0.002331740891381
64512,9,0.13,0.004811899621539
64512,10,0.13,0.003571820256460
64512,11,0.11,0.011198308351698
64512,12,0.11,0.008718149621539
64512,13,0.09,0.003819836129476
64512,14,0.14,0.000843645653285
64512,15,0.07,0.002641760732650
64512,16,0.06,0.003261800415190
65536,1,0.74,0.002206174535207
65536,2,0.56,0.000052126246043
65536,3,0.45,0.004690798121043
65536,4,0.37,0.000497190160207
65536,5,0.31,0.002389280003957
65536,6,0.19,0.000174196558543
65536,7,0.31,0.002493532496043
65536,8,0.18,0.001761110621043
65536,9,0.07,0.004141481714793
65536,10,0.14,0.003531130152293
65536,11,0.11,0.009512575464793
65536,12,0.10,0.009695680933543
65536,13,0.09,0.004019411402293
65536,14,0.08,0.001578005152293
65536,15,0.07,0.002859743433543
65536,16,0.06,0.004385622339793
