points,threads,efficiency,error
7168,4,0.07,0.017150689304079
7168,5,0.04,0.017150689304079
7168,6,0.03,0.010454260732650
7168,7,0.03,0.021614975018365
7168,8,0.02,0.014360510732650
7168,9,0.02,0.012686403589793
7168,10,0.03,0.019382832161222
7168,11,0.01,0.012686403589793
7168,12,0.01,0.007960917838778
7168,13,0.01,0.016331453553064
7168,14,0.01,0.001264489267350
7168,15,0.01,0.002380560695921
7168,16,0.01,0.009635024981635
8192,1,0.29,0.019051877660207
8192,2,0.25,0.007333127660207
8192,3,0.08,0.008291872339793
8192,4,0.09,0.030264528589793
8192,5,0.05,0.019034059839793
8192,6,0.04,0.003897341089793
8192,7,0.04,0.012198122339793
8192,8,0.02,0.019034059839793
8192,9,0.03,0.018545778589793
8192,10,0.02,0.024405153589793
8192,11,0.02,0.019522341089793
8192,12,0.02,0.006827028589793
8192,13,0.01,0.003426877660207
8192,14,0.01,0.000008908910207
8192,15,0.01,0.002450315160207
8192,16,0.01,0.007333127660207
9216,1,0.34,0.012921235299096
9216,2,0.29,0.002070540854651
9216,3,0.17,0.005108735299096
9216,4,0.15,0.025707236923127
9216,5,0.06,0.019196820256460
9216,6,0.04,0.014422514700904
9216,7,0.04,0.000533625812015
9216,8,0.03,0.010516264700904
9216,9,0.03,0.019196820256460
9216,10,0.02,0.031783625812015
9216,11,0.02,0.027877375812015
9216,12,0.02,0.010950292478682
9216,13,0.02,0.002703764700904
9216,14,0.02,0.007478070256460
9216,15,0.01,0.001835709145349
9216,16,0.01,0.009449013076873
10240,1,0.35,0.018563596410207
10240,2,0.22,0.002157346410207
10240,3,0.16,0.009579221410207
10240,4,0.17,0.018936403589793
10240,5,0.06,0.025967653589793
10240,6,0.04,0.009952028589793
10240,7,0.04,0.007608278589793
10240,8,0.04,0.002139528589793
10240,9,0.03,0.010733278589793
10240,10,0.03,0.026358278589793
10240,11,0.02,0.027920778589793
10240,12,0.02,0.016592653589793
10240,13,0.02,0.012295778589793
10240,14,0.01,0.016983278589793
10240,15,0.02,0.014639528589793
10240,16,0.01,0.001358278589793
11264,1,0.33,0.015367573682934
11264,2,0.21,0.002583482773843
11264,3,0.14,0.006134619137479
11264,4,0.10,0.011976176317066
11264,5,0.07,0.022274471771611
11264,6,0.06,0.013041517226157
11264,7,0.03,0.006649471771611
11264,8,0.04,0.004359050955661
11264,9,0.06,0.001322767226157
11264,10,0.01,0.020143789953430
11264,11,0.01,0.022629585407975
11264,12,0.01,0.018368221771611
11264,13,0.02,0.016592653589793
11264,14,0.02,0.020498903589793
11264,15,0.02,0.020143789953430
11264,16,0.01,0.009845494498884
12288,1,0.38,0.015959429743540
12288,2,0.22,0.003915158910207
12288,3,0.13,0.004240679743540
12288,4,0.11,0.005850466089793
12288,5,0.07,0.016267132756460
12288,6,0.06,0.015290570256460
12288,7,0.05,0.003897341089793
12288,8,0.04,0.008129111923127
12288,9,0.04,0.000642132756460
12288,10,0.02,0.009756716089793
12288,11,0.03,0.017894736923127
